consolidated_symptom,umls,regex,entities
tremor,essential tremor,essential tremors?,essential tremor|essential tremors
tremor,trembles,(hands ((are )?trembling|were (literally )?trembling)|trembl(e|ing hand)s|uncontrollable tremors),trembles|hands are trembling|trembling hands|hands were trembling|hands trembling|hands were literally trembling|uncontrollable tremors
tremor,tremor,((body|hand|internal|leg|muscle) tremors?|neurological tremor(s( in (h(er h|is h)?ands|(my|their|your) hands))?)?|shak(es|ing)|tremor( in (my |the )?hands|ed|s( in (h(er h|is h)?ands|(my|their|your) hands))?)?),neurological tremors|shaking|tremor|tremors in her hands|body tremor|leg tremor|tremors in hands|muscle tremors|tremor in hands|internal tremor|hand tremor|shakes|muscle tremor|tremor in my hands|body tremors|hand tremors|neurological tremor|tremored|tremors in my hands|tremors in your hands|leg tremors|tremors|tremors in his hands|tremors in their hands|tremor in the hands|internal tremors
tunnel vision,tunnel visual field constriction,tunnel (- vision|vis(ual field constrict)?ion),tunnel - vision|tunnel vision|tunnel visual field constriction
ulcer,ulceration,ulceration,ulceration
ulcer of mouth,sore mouth,(c(anker sore( in my mouth|s in (h(er|is) mouth|m(y m)?outh))|old sore( on (his mouth|m(y m)?outh|(thei|you)r mouth)|s on (m(y m)?outh|the mouth)))|mouth (been sore|is so( so)?re|sores?|was (very )?sore)|oral thrush|sore( (in (h(er|is) mouth|m(y m)?outh|the(ir)? mouths?|(thei|you)r mouth)|m(y m)?ouths?|on h(er|is) mouth)|s (in (h(er|is) mouth|m(y m)?outh|the(ir)? mouths?|your mouth)|on (her|my|their|your) mouth))),sore in my mouth|canker sores in mouth|mouth was sore|sores in the mouth|canker sores in his mouth|mouth sores|cold sore on my mouth|sore on his mouth|cold sores on mouth|cold sore on his mouth|cold sores on my mouth|sores in your mouth|mouth sore|sores in his mouth|sores on her mouth|sores on my mouth|cold sore on their mouth|sore in your mouth|mouth was very sore|canker sores in her mouth|sore in mouth|sore mouths|sores in their mouth|mouth is sore|sores in my mouth|sores on their mouth|sore in his mouth|sore on her mouth|sores in her mouth|cold sore on your mouth|sores in the mouths|cold sore on mouth|canker sores in my mouth|sore in their mouth|mouth been sore|oral thrush|canker sore in my mouth|mouth is so sore|cold sores on the mouth|sores in mouth|sores on your mouth|sores in their mouths|sore my mouth|sore in her mouth|sore mouth
ulcer of mouth,ulcer of mouth,(mouth ulcers?|oral ulcers|ulcer( of mouth|s in (h(er|is) mouth|m(y m)?outh|the(ir)? mouth|your mouth))),ulcers in her mouth|oral ulcers|ulcers in your mouth|ulcers in my mouth|ulcers in their mouth|mouth ulcer|ulcer of mouth|ulcers in the mouth|ulcers in his mouth|ulcers in mouth|mouth ulcers
unable to breathe,unable to breathe,(unable to breathe|won( ' |’)t be able to breathe),won ' t be able to breathe|won’t be able to breathe|unable to breathe
unable to move,unable to move,(barely could move|c(an( not move|not (even )?move)|ouldn( ' |’)t (even )?move)|unable to move),cannot move|couldn ' t move|couldn’t move|unable to move|can not move|couldn ' t even move|cannot even move|couldn’t even move|barely could move
unable to speak,unable to speak,(cannot smell things|unable to speak),cannot smell things|unable to speak
unable to stand,unable to stand,(barely (able to stand( up)?|be((en)? able to stand up|ing able to stand( up)?)|even be able to stand|stands? up)|c(an( not (even )?stand( up)?|not (even |really )?stand( up)?|t (even )?stand up)|ould( (hardly|not) stand up|n(( ' )?t (even )?stand( up)?|’t (even stand up|stand)( up)?)))|struggling to (even stand|stand( up|s up)?)|unable to stand),struggling to stand|struggling to even stand|barely even be able to stand|couldn ' t stand up|barely able to stand up|could not stand up|cannot stand|cant stand up|unable to stand|couldnt even stand up|cannot even stand up|can not stand up|cannot really stand|couldn’t stand|couldnt even stand|cannot even stand|couldn ' t even stand|barely being able to stand|barely being able to stand up|barely been able to stand up|barely stands up|can not stand|couldn’t stand up|barely able to stand|barely stand up|couldnt stand|cant even stand up|couldnt stand up|barely be able to stand up|can not even stand|couldn ' t stand|can not even stand up|couldn’t even stand up|cannot stand up|could hardly stand up
unpleasant taste in mouth,unpleasant taste in mouth,(nasty taste in (my mouth|the(ir)? mouth|your mouth)|unpleasant taste in mouth),unpleasant taste in mouth|nasty taste in my mouth|nasty taste in the mouth|nasty taste in their mouth|nasty taste in your mouth
urinary changes,urine looks dark,(dark urine|urine looks dark),dark urine|urine looks dark
urinary incontinence,incontinence,incontinences?,incontinence|incontinences
urinary incontinence,urinary incontinence,urinary incontinence,urinary incontinence
urinary symptoms,urinary symptoms,uri(nary)? symptoms,uri symptoms|urinary symptoms
vaginal bleeding,vaginal bleeding,vaginal (bleed|hemorrhag)ing,vaginal bleeding|vaginal hemorrhaging
visual changes,abnormal vision,(abnormal vision|bad (eye sight|vision)|change( in (my |your )?vision|s in (her |my |their )?vision)|distorted vision|eye abnormalities|issues with (her |my |their )?vision|problems with (his |my |their |your )?vision|reduced vision|vision (bad|is ((really )?bad|s(o|uper) bad)|was (so )?bad)),change in vision|issues with her vision|vision is so bad|changes in my vision|changes in their vision|issues with vision|vision is bad|vision was bad|change in my vision|vision bad|problems with his vision|issues with my vision|reduced vision|problems with your vision|problems with their vision|change in your vision|vision is really bad|distorted vision|problems with vision|bad vision|vision was so bad|abnormal vision|issues with their vision|problems with my vision|bad eye sight|changes in vision|vision is super bad|eye abnormalities|changes in her vision
visual changes,diplopia,d(iplopia|ouble (- )?visions?),double vision|double visions|diplopia|double - vision
visual changes,myopia,(#myopia|myopi[ac]),myopic|#myopia|myopia
visual changes,sight deteriorating,(can ?not see|deteriorati(ng eyesight|on in (my )?vision)|eyesight ha(d deteriorated|s (massively )?deteriorated)|los(e the sight in one of her eyes|t (all their sight in one of their eyes|sight in one of h(er|is) eyes|the sight in one of her eyes))|no vision|sight deteriorating),deterioration in vision|lost the sight in one of her eyes|lost all their sight in one of their eyes|sight deteriorating|can not see|cannot see|eyesight has massively deteriorated|lose the sight in one of her eyes|lost sight in one of his eyes|lost sight in one of her eyes|eyesight has deteriorated|deterioration in my vision|deteriorating eyesight|no vision|eyesight had deteriorated
visual changes,strabismus,s(quint|trabismus),strabismus|squint
visual changes,visual disturbance,(eye sight( problem|s problems)s?|vis(ion (be damaged|d(amag|isturbanc)es?|(i|wa)s damaged)|ual (disturbance|problems)s?)),vision be damaged|vision was damaged|visual disturbances|vision is damaged|vision disturbances|eye sights problems|vision damage|visual disturbance|eye sight problem|eye sight problems|vision disturbance|visual problems
visual changes,visual impairment,(eyesight (i(s i)?mpaired|was impaired)|impaired (eyesight|my vision|vision)|l(ack of (eye )?sight|imited vision|os(e( (eye sight|her eye sight|my eye sight|sight in one eye|their eye sight)|s her eye sight)|ing ((her )?eye sight|my (eye sight|sight in one eye)|sight in one eye|the( sight in one eye|ir (eye sight|sight in one eye)|ir eye sight))|s of (eye (- )?sight|sight)|t (eye sight|h(er (eye sight|sight in one eye)|is eye sight)|m(ost m)?y eye sight|sight in one eye|the( sight in one eye|ir (eye sight|sight in one eye)))))|poor vision|sight loss|vis(ion (- impaired|i(s i)?mpaired|(loss|was impaired))|ual (impairment|loss))),losing their eye sight|lose eye sight|poor vision|vision is impaired|losing sight in one eye|losing my sight in one eye|losing my eye sight|lose their eye sight|losing eye sight|lost their eye sight|eyesight impaired|lose my eye sight|loss of eye sight|lack of sight|visual impairment|impaired eyesight|eyesight is impaired|lost my eye sight|losing her eye sight|lost her eye sight|lack of eye sight|loss of sight|vision was impaired|eyesight was impaired|lost their sight in one eye|lost most my eye sight|visual loss|loss of eye - sight|limited vision|lost the sight in one eye|lose sight in one eye|impaired my vision|lost her sight in one eye|lost his eye sight|lose her eye sight|lost eye sight|sight loss|losing the sight in one eye|vision - impaired|vision loss|loses her eye sight|lost sight in one eye|vision impaired|impaired vision
visual impairment,visual impairment,vis(ion|ual) impairment,vision impairment|visual impairment
vocal fatigue,vocal fatigue,(loose (his |my |their |your )?voice|paralyzed vocal cord|vo(cal fatigue|ice (has been weak|is (all |even |so |very )?weak|w(as w)?eak))),voice is even weak|voice was weak|voice is very weak|voice weak|loose voice|voice is all weak|loose my voice|paralyzed vocal cord|loose their voice|voice is weak|loose your voice|voice has been weak|loose his voice|voice is so weak|vocal fatigue
walking disability,difficulty walking,(difficult( (( painful ) to walk|to (even )?walk)|y walking)|ha(d (difficulty|trouble) walking|rd(er)? for me to walk|s (difficulty|trouble) walking|v(e (difficulty|trouble) walking|ing difficulty walking))|struggl(e( to walk|s to (even )?walk)|ing to (even )?walk(ing)?)|trouble (to walk|walking)|walking difficult(ies|y)),walking difficulties|having difficulty walking|difficult ( painful ) to walk|has trouble walking|walking difficulty|struggles to even walk|struggles to walk|have difficulty walking|struggle to walk|trouble walking|had trouble walking|trouble to walk|have trouble walking|hard for me to walk|difficult to walk|had difficulty walking|difficult to even walk|harder for me to walk|difficulty walking|struggling to even walk|struggling to walk|has difficulty walking|struggling to walking
walking disability,unable to walk,(barely can (even )?walk|c(an( (barely (even )?walk|no( longer (even )?walk|t (even walk|w(al|or)k)))|not (even walk|w(al|or)k))|ould( (barely (even )?walk|no( longer (even )?walk| longer walk|t (even walk|w(al|or)k|walk)))|n( ' |’)?t (even )?walk))|hardly (able to walk|be(ing)? able to walk)|no longer walks?|unable to walk),hardly being able to walk|could not walk|could barely walk|hardly able to walk|couldn’t walk|could no longer walk|couldnt walk|couldnt even walk|cannot walk|no longer walk|can not work|can no longer even walk|couldn’t even walk|cannot even walk|hardly be able to walk|can not even walk|could barely even walk|unable to walk|can barely walk|can not walk|cannot work|no longer walks|can barely even walk|couldn ' t even walk|barely can even walk|can no longer walk|barely can walk|could not even walk|couldn ' t walk
watery eye,watery eye,(eye( watered|s (:eyes: (tearing|water)|a(ll watery|re ((all watery|constantly watering)|g(etting watery|oing to water)|(hella watery|literally tearing|quite literally watery|really watery)|s(o watery|uper water)|tear(ed up|ing)|(very )?watery))|be( ((all|so) watery|watery?)|en watery)|(constantly watering|even watered)|g(et( ((all|hella) watery|really (really )?watery|(so )?watery)|s watery|ting (all )?watery)|ot (all |really |so )?watery)|h(ave been (tearing|watery)|ella water(ed|y))|keep watering|literally (teared up|water)|(r )?so watery|tear(ed up|ing)|w(a(s watery|ter( up|ed|y)?)|ere ((all|getting) watery|s(o|uper) watery|tearing|watery(yyy)?))))|(runny|streaming) eyes|tear(s in (eyes|h(er|is) eyes|my eyes|the(ir)? eyes|your eyes)|y (- )?eye[ds])|w(atery eye|et eyes)),eyes got really watery|eyes been watery|watery eye|eyes literally teared up|eyes are super water|teary - eyes|eyes be water|eyes literally water|eyes get really watery|streaming eyes|tears in eyes|eyes get hella watery|teary eyes|eyes tearing|eyes were all watery|eyes even watered|eyes getting watery|eyes be so watery|runny eyes|eyes watered|eyes so watery|eyes got watery|tears in my eyes|eyes hella watered|tears in her eyes|eyes get so watery|teary eyed|eyes be watery|tears in your eyes|teary - eyed|eyes getting all watery|eyes are tearing|eyes are teared up|eyes all watery|eyes were watery|eyes are going to water|eyes are literally tearing|eyes are watery|eyes teared up|eyes watery|eyes were getting watery|eyes constantly watering|eyes got all watery|eyes water|eyes have been watery|eyes are so watery|eyes are all watery|eyes was watery|eyes were wateryyyy|eye watered|eyes are very watery|eyes are really watery|eyes be all watery|tears in their eyes|eyes are getting watery|eyes gets watery|eyes :eyes: water|eyes get watery|tears in the eyes|eyes got so watery|eyes were so watery|eyes are hella watery|eyes were tearing|eyes get really really watery|eyes r so watery|eyes are quite literally watery|eyes water up|eyes are constantly watering|eyes :eyes: tearing|eyes have been tearing|eyes were super watery|tears in his eyes|eyes get all watery|eyes hella watery|wet eyes|eyes keep watering
